root@autodl-container-1gcj1rxds4-d7bef2bf:~/Code# python main.py --alg qsgd --dataset cifar --iid 0 --alpha 0.1 --epochs 400 --gpu 0
Files already downloaded and verified
Files already downloaded and verified
Load dataset: cifar | Train set: 50000, Test set: 10000, Clients: 100
Model: cnn, Params: 2,777,674
Experiment Setup: Algorithm=qsgd, Dataset=cifar(Non-IID), Model=cnn, Epochs=400, Clients=100(10%), Local Epochs=5
QSGD Config: Quantization Bits=8
Other Configs: EMA=Off, Device=cuda:0, Optimizer=sgd, LR=0.001, Seed=42
[Cold Start] Initial model distribution: 1086790.6KB, Cumulative: 1086790.6KB
Round 82: TestAcc: 26.39%, TestLoss: 1.9902, TrainAcc: 91.62%, TrainLoss: 1.0607, Comm: 1113964.3KB, Cum: 91345070.7KB, Time: 33.9s                                           
Round 83: TestAcc: 30.39%, TestLoss: 1.8881, TrainAcc: 86.12%, TrainLoss: 1.0511, Comm: 1113964.3KB, Cum: 92459035.0KB, Time: 32.3s                                           
Round 84: TestAcc: 19.08%, TestLoss: 2.1557, TrainAcc: 87.21%, TrainLoss: 1.0044, Comm: 1113964.3KB, Cum: 93572999.3KB, Time: 32.5s                                           
Round 85: TestAcc: 18.20%, TestLoss: 2.1919, TrainAcc: 90.26%, TrainLoss: 0.9294, Comm: 1113964.3KB, Cum: 94686963.6KB, Time: 31.6s                                           
Round 86: TestAcc: 29.30%, TestLoss: 1.9591, TrainAcc: 87.90%, TrainLoss: 1.0637, Comm: 1113964.3KB, Cum: 95800927.9KB, Time: 30.1s                                           
Round 87: TestAcc: 20.02%, TestLoss: 2.0296, TrainAcc: 87.42%, TrainLoss: 1.0032, Comm: 1113964.3KB, Cum: 96914892.1KB, Time: 36.0s                                           
Round 88: TestAcc: 27.67%, TestLoss: 1.8762, TrainAcc: 84.22%, TrainLoss: 1.0396, Comm: 1113964.3KB, Cum: 98028856.4KB, Time: 36.3s                                           
Round 89: TestAcc: 25.63%, TestLoss: 1.9459, TrainAcc: 89.27%, TrainLoss: 0.9681, Comm: 1113964.3KB, Cum: 99142820.7KB, Time: 33.5s                                           
Round 90: TestAcc: 33.22%, TestLoss: 1.8735, TrainAcc: 78.96%, TrainLoss: 1.3179, Comm: 1113964.3KB, Cum: 100256785.0KB, Time: 30.8s                                          
Round 91: TestAcc: 23.35%, TestLoss: 1.9701, TrainAcc: 89.64%, TrainLoss: 0.9099, Comm: 1113964.3KB, Cum: 101370749.2KB, Time: 35.4s                                          
